iter	RMSE
0	9.525473588
1	9.460464021
2	9.389886549
3	9.3249363
4	9.233694675
5	9.163510164
6	9.110674981
7	9.05016391
8	9.011786525
9	9.001895603
10	8.934438342
11	8.869970292
12	8.815040767
13	8.786124204
14	8.741627238
15	8.703558562
16	8.648191897
17	8.606193246
18	8.535851964
19	8.491997877
20	8.439817445
21	8.410034788
22	8.370604615
23	8.345968721
24	8.292203758
25	8.233837251
26	8.194831998
27	8.177019512
28	8.150971269
29	8.12749832
30	8.121982173
31	8.111424967
32	8.103602335
33	8.077028504
34	8.041013933
35	8.014554927
36	7.995179972
37	7.98932155
38	7.977932356
39	7.906757819
40	7.89490174
41	7.871179463
42	7.851878767
43	7.840048154
44	7.825765887
45	7.797879055
46	7.749621027
47	7.709007805
48	7.687578212
49	7.658018418
50	7.619600955
51	7.613863704
52	7.594305138
53	7.550781234
54	7.509561498
55	7.462226398
56	7.43119308
57	7.426075951
58	7.404598232
59	7.370437027
60	7.351821977
61	7.328204313
62	7.296792996
63	7.268630762
64	7.249337768
65	7.219321816
66	7.203225305
67	7.165582695
68	7.12687593
69	7.122214973
70	7.11411985
71	7.110172004
72	7.105867659
73	7.092453524
74	7.053517059
75	7.046409776
76	7.040467402
77	7.012365432
78	6.992201132
79	6.986777406
80	6.974718475
81	6.967399358
82	6.958476902
83	6.95182635
84	6.939733287
85	6.932800496
86	6.920700369
87	6.885565329
88	6.875318343
89	6.866309069
90	6.861094764
91	6.839010977
92	6.832497453
93	6.819042628
94	6.80361484
95	6.796075889
96	6.775833111
97	6.765770437
98	6.748243184
99	6.727492167
100	6.721194634
101	6.714136894
102	6.703825926
103	6.689966112
104	6.631903819
105	6.578181924
106	6.532518216
107	6.482654799
108	6.475248491
109	6.471542751
110	6.462895677
111	6.430410938
112	6.425735011
113	6.42102763
