iter	Passed	Remaining
0	10	10809
1	20	10052
2	28	9584
3	37	9309
4	45	9049
5	53	8897
6	62	8829
7	72	9020
8	81	8922
9	88	8772
10	97	8781
11	105	8673
12	113	8609
13	121	8551
14	129	8473
15	136	8408
16	147	8543
17	155	8479
18	164	8498
19	173	8503
20	181	8471
21	190	8446
22	197	8410
23	205	8375
24	215	8404
25	224	8403
26	231	8347
27	238	8279
28	245	8224
29	252	8171
30	259	8111
31	266	8064
32	274	8045
33	281	7997
34	287	7934
35	295	7899
36	301	7853
37	308	7822
38	316	7799
39	323	7766
40	331	7745
41	339	7743
42	352	7834
43	359	7801
44	366	7773
45	373	7745
46	380	7711
47	387	7684
48	395	7666
49	402	7653
50	409	7625
51	416	7593
52	423	7560
53	431	7557
54	438	7531
55	446	7524
56	454	7518
57	461	7498
58	468	7479
59	476	7459
60	483	7443
61	491	7437
62	498	7411
63	505	7392
64	512	7378
65	520	7367
66	528	7354
67	536	7351
68	545	7358
69	552	7345
70	559	7326
71	567	7316
72	574	7293
73	582	7285
74	589	7265
75	596	7256
76	604	7251
77	612	7240
78	619	7222
79	627	7214
80	647	7350
81	661	7409
82	672	7427
83	680	7424
84	689	7421
85	698	7423
86	711	7471
87	724	7504
88	728	7458
89	756	7648
90	770	7699
91	780	7705
92	789	7698
93	797	7688
94	805	7675
95	815	7680
96	823	7665
97	831	7656
98	843	7678
99	852	7676
100	863	7681
101	870	7665
102	879	7662
103	887	7647
104	895	7633
105	904	7631
106	912	7618
107	921	7614
108	931	7615
109	939	7604
110	948	7600
111	962	7632
112	970	7619
113	981	7625
114	989	7614
115	1000	7625
116	1008	7614
117	1017	7605
118	1027	7609
119	1035	7595
120	1044	7584
121	1052	7573
122	1062	7572
123	1070	7559
124	1078	7547
125	1086	7533
126	1095	7530
127	1103	7517
128	1111	7503
129	1119	7492
130	1128	7488
131	1137	7477
132	1145	7464
133	1153	7457
134	1161	7443
135	1170	7438
136	1178	7425
137	1186	7410
138	1195	7403
139	1203	7395
140	1221	7444
141	1232	7445
142	1240	7433
143	1248	7423
144	1259	7424
145	1268	7420
146	1277	7415
147	1285	7402
148	1295	7398
149	1303	7387
150	1312	7378
151	1320	7368
152	1329	7358
153	1337	7345
154	1345	7333
155	1354	7328
156	1362	7315
157	1384	7375
158	1391	7360
159	1399	7346
160	1406	7328
161	1414	7316
162	1422	7306
163	1430	7291
164	1438	7279
165	1445	7262
166	1453	7248
167	1461	7238
168	1469	7226
169	1476	7211
170	1484	7194
171	1491	7177
172	1498	7162
173	1505	7148
174	1513	7134
175	1521	7122
176	1533	7129
177	1541	7118
